,Time,General Demand (W),EV Demand (W),Heating Demand (W),PV (W),TotalDemand,Imbalnace,Imbalance_check
16896,6/26/2021 1:00,7137.0,0,2764,0.0,9901.0,9901.0,True
16897,6/26/2021 1:15,5547.0,0,2764,0.0,8311.0,8311.0,True
16898,6/26/2021 1:30,5319.0,0,2764,0.0,8083.0,8083.0,True
16899,6/26/2021 1:45,5392.0,0,2764,0.0,8156.0,8156.0,True
16900,6/26/2021 2:00,5384.0,0,2764,0.0,8148.0,8148.0,True
16901,6/26/2021 2:15,5342.0,0,2764,0.0,8106.0,8106.0,True
16902,6/26/2021 2:30,5344.0,0,2764,0.0,8108.0,8108.0,True
16903,6/26/2021 2:45,5408.0,0,2764,0.0,8172.0,8172.0,True
16904,6/26/2021 3:00,5358.0,0,2764,0.0,8122.0,8122.0,True
16905,6/26/2021 3:15,5324.0,0,2764,0.0,8088.0,8088.0,True
16906,6/26/2021 3:30,5387.0,0,2764,0.0,8151.0,8151.0,True
16907,6/26/2021 3:45,5391.0,0,2764,0.0,8155.0,8155.0,True
16908,6/26/2021 4:00,5349.0,0,2764,0.0,8113.0,8113.0,True
16909,6/26/2021 4:15,5322.0,0,2764,0.0,8086.0,8086.0,True
16910,6/26/2021 4:30,5426.0,0,2764,0.0,8190.0,8190.0,True
16911,6/26/2021 4:45,5341.0,0,2764,0.0,8105.0,8105.0,True
16912,6/26/2021 5:00,5361.0,0,2764,0.0,8125.0,8125.0,True
16913,6/26/2021 5:15,5342.0,0,2764,0.0,8106.0,8106.0,True
16914,6/26/2021 5:30,5394.0,0,2764,-2473.088888901,8158.0,5684.911111099,True
16915,6/26/2021 5:45,5290.0,0,2764,-4188.02222307,8054.0,3865.97777693,True
16916,6/26/2021 6:00,5298.0,0,2764,-6368.02222089,8062.0,1693.9777791099996,True
16917,6/26/2021 6:15,5292.0,0,2764,-8521.37777802,8056.0,-465.3777780199998,False
16918,6/26/2021 6:30,5276.0,0,2764,-10657.777776930001,8040.0,-2617.777776930001,False
16919,6/26/2021 6:45,5196.0,0,2764,-15419.866668120001,7960.0,-7459.866668120001,False
16920,6/26/2021 7:00,5171.0,0,2764,-20223.13333188,7935.0,-12288.133331879999,False
16921,6/26/2021 7:15,5366.0,0,2764,-25040.933334060002,8130.0,-16910.933334060002,False
16922,6/26/2021 7:30,6252.0,0,6464,-29887.800000000003,12716.0,-17171.800000000003,False
16923,6/26/2021 7:45,6678.0,0,11761,-38602.9555713,18439.0,-20163.9555713,False
16924,6/26/2021 8:00,8364.0,0,6713,-47446.48889010001,15077.0,-32369.48889010001,False
16925,6/26/2021 8:15,10500.0,0,8483,-56534.666670299994,18983.0,-37551.666670299994,False
16926,6/26/2021 8:30,9206.0,0,7893,-65942.5777911,17099.0,-48843.577791100004,False
16927,6/26/2021 8:45,8212.0,0,8311,-84973.97779110001,16523.0,-68450.97779110001,False
16928,6/26/2021 9:00,11049.0,0,2311,-105245.55557129999,13360.0,-91885.55557129999,False
16929,6/26/2021 9:15,8214.0,0,2380,-126517.51110989999,10594.0,-115923.51110989999,False
16930,6/26/2021 9:30,12534.0,0,2311,-148397.44443960002,14845.0,-133552.44443960002,False
16931,6/26/2021 9:45,11597.0,0,2744,-165830.1777693,14341.0,-151489.1777693,False
16932,6/26/2021 10:00,8023.0,0,2311,-183345.26667029998,10334.0,-173011.26667029998,False
16933,6/26/2021 10:15,10692.0,0,2311,-200831.288901,13003.0,-187828.288901,False
16934,6/26/2021 10:30,6942.0,0,2342,-218230.1111208,9284.0,-208946.1111208,False
16935,6/26/2021 10:45,5027.0,0,2311,-183904.8,7338.0,-176566.8,False
16936,6/26/2021 11:00,5212.0,0,2311,-144718.08890099998,7523.0,-137195.08890099998,False
16937,6/26/2021 11:15,5624.0,0,2311,-108283.02220889999,7935.0,-100348.02220889999,False
16938,6/26/2021 11:30,5988.0,0,2311,-77239.8222198,8299.0,-68940.8222198,False
16939,6/26/2021 11:45,5915.0,0,2311,-74151.48890099999,8226.0,-65925.48890099999,False
16940,6/26/2021 12:00,5946.0,0,2311,-71121.2888901,8257.0,-62864.2888901,False
16941,6/26/2021 12:15,6053.0,0,2311,-68103.20001090001,8364.0,-59739.20001090001,False
16942,6/26/2021 12:30,6985.0,0,2311,-65092.3777911,9296.0,-55796.3777911,False
16943,6/26/2021 12:45,6482.0,0,2311,-109101.73331879998,8793.0,-100308.73331879998,False
16944,6/26/2021 13:00,5523.0,0,2402,-159888.4666812,7925.0,-151963.4666812,False
16945,6/26/2021 13:15,4774.0,0,2311,-217048.0666812,7085.0,-209963.0666812,False
16946,6/26/2021 13:30,4130.0,0,2311,-274958.5555713,6441.0,-268517.5555713,False
16947,6/26/2021 13:45,4760.0,0,2311,-254565.8666703,7071.0,-247494.8666703,False
16948,6/26/2021 14:00,5373.0,0,2311,-234153.8000109,7684.0,-226469.8000109,False
16949,6/26/2021 14:15,5604.0,0,2311,-213918.55556040004,7915.0,-206003.55556040004,False
16950,6/26/2021 14:30,6179.0,0,2311,-194012.73332970002,8490.0,-185522.73332970002,False
16951,6/26/2021 14:45,5905.0,0,2311,-200099.77776929998,8216.0,-191883.77776929998,False
16952,6/26/2021 15:00,5083.0,0,2311,-206240.1111099,7394.0,-198846.1111099,False
16953,6/26/2021 15:15,5222.0,0,2347,-212271.44442870002,7569.0,-204702.44442870002,False
16954,6/26/2021 15:30,5430.0,0,2311,-217966.08890099998,7741.0,-210225.08890099998,False
16955,6/26/2021 15:45,6187.0,0,2311,-200550.3111099,8498.0,-192052.3111099,False
16956,6/26/2021 16:00,7295.0,0,2672,-183149.06667029997,9967.0,-173182.06667029997,False
16957,6/26/2021 16:15,7666.0,0,2422,-165796.2666594,10088.0,-155708.2666594,False
16958,6/26/2021 16:30,7126.0,0,2076,-148588.8,9202.0,-139386.8,False
16959,6/26/2021 16:45,7913.0,0,4574,-130334.9333406,12487.0,-117847.9333406,False
16960,6/26/2021 17:00,8651.0,0,4297,-112628.4888792,12948.0,-99680.4888792,False
16961,6/26/2021 17:15,9298.0,0,2094,-95648.7111099,11392.0,-84256.7111099,False
16962,6/26/2021 17:30,11544.0,0,3725,-79482.8000109,15269.0,-64213.8000109,False
16963,6/26/2021 17:45,11788.0,0,2657,-84039.0,14445.0,-69594.0,False
16964,6/26/2021 18:00,9435.0,7400,3885,-88270.6222089,20720.0,-67550.6222089,False
16965,6/26/2021 18:15,14714.0,7400,2940,-91591.48889010001,25054.0,-66537.48889010001,False
16966,6/26/2021 18:30,18293.0,7400,4224,-93018.17779110001,29917.0,-63101.17779110001,False
16967,6/26/2021 18:45,16641.0,7400,4452,-82910.24442870001,28493.0,-54417.24442870001,False
16968,6/26/2021 19:00,13989.0,7400,5260,-73066.3333188,26649.0,-46417.333318799996,False
16969,6/26/2021 19:15,12832.0,3080,5159,-63532.4666703,21071.0,-42461.4666703,False
16970,6/26/2021 19:30,12387.0,0,4773,-54354.66665939999,17160.0,-37194.66665939999,False
16971,6/26/2021 19:45,12917.0,0,5554,-45317.35556039999,18471.0,-26846.355560399992,False
16972,6/26/2021 20:00,15357.0,0,3627,-37043.0444505,18984.0,-18059.044450499998,False
16973,6/26/2021 20:15,15310.0,0,5447,-29575.33333188,20757.0,-8818.33333188,False
16974,6/26/2021 20:30,11845.0,0,4144,-22810.066668120002,15989.0,-6821.066668120002,False
16975,6/26/2021 20:45,12013.0,0,8057,-17284.977778020002,20070.0,2785.022221979998,True
16976,6/26/2021 21:00,16009.0,0,6137,-12103.844442869999,22146.0,10042.155557130001,True
16977,6/26/2021 21:15,12989.0,0,7181,-7588.822223069999,20170.0,12581.17777693,True
16978,6/26/2021 21:30,14962.0,0,7855,-3986.97777693,22817.0,18830.022223070002,True
16979,6/26/2021 21:45,16573.0,0,11449,-2734.6888889009997,28022.0,25287.311111099,True
16980,6/26/2021 22:00,12519.0,0,7992,0.0,20511.0,20511.0,True
16981,6/26/2021 22:15,10444.0,0,9437,0.0,19881.0,19881.0,True
16982,6/26/2021 22:30,11393.0,0,9003,0.0,20396.0,20396.0,True
16983,6/26/2021 22:45,12244.0,0,11814,0.0,24058.0,24058.0,True
16984,6/26/2021 23:00,12738.0,0,5919,0.0,18657.0,18657.0,True
16985,6/26/2021 23:15,11142.0,0,6875,0.0,18017.0,18017.0,True
16986,6/26/2021 23:30,10200.0,0,2627,0.0,12827.0,12827.0,True
16987,6/26/2021 23:45,9418.0,0,3101,0.0,12519.0,12519.0,True
16988,6/27/2021 0:00,7612.0,0,2497,0.0,10109.0,10109.0,True
16989,6/27/2021 0:15,7723.0,0,2404,0.0,10127.0,10127.0,True
16990,6/27/2021 0:30,6340.0,0,2404,0.0,8744.0,8744.0,True
16991,6/27/2021 0:45,6190.0,0,2404,0.0,8594.0,8594.0,True
